date,route_color,route_grade,rating,style,wall,offset,comment,route_id
2019-11-21,Blue,V5,,Flash,wall-mezzanine,114.6,,c4e38bdcc4c5426be58105ea88884e2c
2019-11-21,Yellow,V6,4,Red Point,wall-boulders,359.0,,ef6e6639376e5460046debaf0173b82a
2019-11-21,Red,V6,4,Red Point,wall-boulders,581.0,,a2d5f68ac280eb7a14cc16d56e7f24fe
2019-11-21,Blue,V8,4,Red Point,wall-boulders,581.0,Cool first move; body wedge finish ftw! ,4de06b25e75c4faf2b829727b39b941b
2019-11-19,Lime Green,5.11c,,Onsight,wall-island,127.1,,0226154cd6772c6b5e3c639d93ddacf2
2019-11-19,Purple,5.11b,,Red Point,wall-red,133.2,,8500d93a5516875da611d4c9380483dc
2019-11-19,Red,V6,,Red Point,wall-boulders,288.8,,a100e9219991f648a5e821e91d73e789
2019-11-19,Black,V4,,Red Point,wall-boulders,359.0,,193f2c40502b2e18eec6ea8992ea0801
2019-11-17,White,5.10d,,Onsight,wall-back-wall,443.3,,551a2c0d77a2ab2414d99f98d67c6af4
2019-11-17,Tan,V0,,Flash,wall-boulders,288.8,,24b584cbb5e63a05e55b8892182e55c8
2019-11-17,Red,V3,,Flash,wall-boulders,288.8,,9d0d450fcd34187a7f5707b6be3d40b7
2019-11-17,Black,V1,,Flash,wall-boulders,288.8,,381fba7b16aaefee8bbce0d27927aa83
2019-11-17,Purple,V4,,Red Point,wall-boulders,288.8,,43857739f50195be5c0f62c4c0ca9cef
2019-11-17,Blue,V3,,Flash,wall-boulders,288.8,,2e7955d39151a01169eb9191b437da98
2019-11-17,Pink Left,V4,,Flash,wall-boulders,359.0,,732360242b3208853b2ff870dfd4ae59
2019-11-17,Blue,V2,,Flash,wall-boulders,359.0,,e9c4b1cf0f8d06cc148fd2523d6c48a5
2019-11-17,Tan,V3,,Flash,wall-boulders,359.0,,eee0915b91eae098473431d3c95a2733
2019-11-17,Pink,V7,,Red Point,wall-boulders,359.0,,88b0ef6c84f7b8d229ed74a936abef83
2019-11-17,Yellow,V4,5,Flash,wall-boulders,288.8,,edd0e9f4d6e5d21853fb8258aa8b03bd
2019-11-13,Purple,5.11b,,Onsight,wall-island,589.6,,1c7cd76b531ec3895f8ab9edbc069210
2019-11-13,White,5.12a,,Red Point,wall-island,560.7,,90e328e015a809901129a0ed02cb256b
2019-11-13,White,5.12a,,Red Point,wall-back-wall,1167.3,,46c8ccdad51a67ac39e12ff881b93f1c
2019-11-13,Lime Green,5.10a,,Onsight,wall-back-wall,684.0,,8bb5dcf2a150e2bb2a77a7d092db3e73
2019-11-13,Purple,5.10d,,Onsight,wall-back-wall,589.1,,ab9e99b578dc0bc1b88231ef450af82d
2019-11-07,Blue,V4,,Flash,wall-slab,48.7,,c02780acc69307da661a91fa8d891d52
2019-11-07,Black,V3,,Flash,wall-slab,48.7,,93e689abaa22e628f714884f804f01b1
2019-11-07,Red,V2,,Red Point,wall-slab,48.7,,33efde04bb65f86081d0df92f65a7030
2019-11-07,Yellow,V0,,Flash,wall-slab,118.8,,d938da407de62e7c8b0591a4ba31611c
2019-11-07,White,V6,5,Red Point,wall-slab,118.8,,ccb52971fe318292eaeb1313216054bf
2019-11-07,Yellow,V5,,Flash,wall-slab,118.8,,f5fc438d5bd2ed3af4a42b78d56d1c39
2019-11-07,Pink,V4,,Flash,wall-slab,118.8,,c83e174a45e10a972274546d9f7c1e08
2019-11-07,Lime Green,V1,,Flash,wall-slab,118.8,,7ca468cc337692ccc0ce64d3bb3e1c9c
2019-11-07,Blue,V2,,Flash,wall-slab,118.8,,946ad60d4fd2baa72c5cbbb6bce21b0d
2019-11-07,Tan,V1,,Flash,wall-slab,192.9,,11989873e17619fe5343a1ba64b7f9fa
2019-11-07,Black,V5,,Red Point,wall-slab,192.9,,3b856beba40762ffd1267908d416ee47
2019-11-07,Blue,V6,,Red Point,wall-slab,192.9,,e5693d8e11dc64d3ce2afa4d91533d31
2019-11-07,White,V1,,Flash,wall-slab,192.9,,ca12063c63ee41afc220ba5f3871c9f2
2019-11-07,Red,V3,,Flash,wall-slab,192.9,,a6bcdb833e26466c666edca1f8c57d0d
2019-10-24,Red,5.11c,,Red Point,wall-back-wall,871.9,,c97ff0250a0e6d28c68afc567c122d59
2019-10-24,White,5.10b,2,Onsight,wall-red,230.0,,656f936b6a44c3f5732c9bb24588d93a
2019-10-24,Red,5.11a,4,Onsight,wall-red,261.8,,75752b7d4501ce271202689e41902812
2019-10-24,Tan,5.11c,,Onsight,wall-back-wall,388.4,,32b83a2475aa1c91b803beb1d7fdadcc
2019-10-24,Yellow,5.11c,,Red Point,wall-back-wall,968.7,,b0930a2aa3f903d8984903faf4c7c5c5
2019-10-24,Purple,5.11b,3,Onsight,wall-back-wall,1045.1,pretty chill,b09fa28bce358e5596bc8d47134de12b
2019-10-24,Yellow,5.10b,1,Onsight,wall-back-wall,830.9,,807dfc32d5c3f169619829af80d6f91c
2019-10-24,Red,5.9,,Onsight,wall-island,420.7,,0c26a257c10ebe6decab961c533c084d
2019-10-24,Pink,5.8,4,Onsight,wall-back-wall,165.3,challenging for 5.8,f1faaccc28792e2b89a1a426528aa29d
2019-10-23,Tan,5.11a,,Onsight,wall-back-wall,946.0,pretty chill,19c99843b896516f962b1d4f32c026b1
2019-10-23,Purple,5.10a,,Onsight,wall-back-wall,243.6,,764ba7ae6edbb2c51ac608e130346fc1
2019-10-23,Yellow,5.9,,Onsight,wall-back-wall,141.7,,9679387c8f76d8b778ace23c8c7267df
2019-10-23,Yellow,5.8,,Onsight,wall-back-wall,221.9,,76d1adcb7bc9fbddfa993a8f9f19584b
2019-09-23,Black,5.12b,,Red Point,wall-back-wall,191.4,,86c5c63ea07919564b4589f529ee3280
2019-09-23,Lime Green,5.11c,,Onsight,wall-back-wall,140.8,,2b7c8b17bdbb7bc95f06b74e72e2c667
2019-09-19,White High Start,V6,4,Flash,wall-boulders,667.3,Sustained & tense,5e689a1621f87ba57c4cb52576f57022
2019-09-19,Black,V7,5,Red Point,wall-boulders,793.8,The two moves at the lip (before and over) were very powerful. Super bouldery fun!,aebf59e790eeb206cc7b183bee907f1d
2019-09-18,Purple,5.12d,5,Attempt,wall-back-wall,125.0,,1247deac80deda1b4f7b14a804ab3de7
2019-09-18,White,V1,,Flash,wall-boulders,667.3,,7e49de8ec00664c9e864f2f8a8884fb5
2019-09-18,Black,V3,,Flash,wall-boulders,667.3,,e137d99bc38560c750e5f67a56dbd0bf
2019-09-18,Red,V3,,Flash,wall-boulders,667.3,,be2c780c105b317eabde23e05b4b6823
2019-09-18,Pink,V5,3,Flash,wall-boulders,667.3,,0d4df7e78f4973bf0666a19acbf440ab
2019-09-18,Purple,V4,,Flash,wall-boulders,736.4,,6ca8fe54fd63700ddea4dc246b195658
2019-09-18,Tan,V2,,Flash,wall-boulders,793.8,,2d935f4dfaf5b616c6e1ffde261b9508
2019-09-18,Yellow,V4,4,Flash,wall-boulders,793.8,Accidently went straight up & skipped the holds out right﹐ fun move though it might add to the grade.,15402dcbd8c819dc710b50a318e2dcfb
2019-09-18,Pink,V7,2,Red Point,wall-boulders,793.8,Felt like I almost broke my wrist on the second move on my first attempt﹐ climber beware. Cool climb minus the possibility of injury.,b85f1c1e8430bad746f8e5458b94365c
2019-09-18,Lime Green,V2,,Flash,wall-boulders,793.8,,25ec245f6be8ce6d5c1d64d77583f4b1
2019-09-18,Red,V3,4,Flash,wall-boulders,793.8,,d3544c647596be6c59c0938205a80fe9
2019-09-18,White,V0,,Flash,wall-boulders,793.8,,618463d442beee480595a1b1b7ce92d9
2019-09-18,Blue,V5,3,Red Point,wall-boulders,793.8,,c36ede8b4ef70f529728f52bf33ef83c
2019-09-17,Red,5.11c,5,Red Point,wall-back-wall,37.7,Great climb,3ac9c8ba5b6241548a92d6f7359f4faa
